city,city_total
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
ROCKVILLE,130
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GAITHERSBURG,118
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
GERMANTOWN,81
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
BETHESDA,33
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
MONTGOMERY VILLAGE,26
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
CLARKSBURG,14
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
KENSINGTON,13
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DAMASCUS,12
DERWOOD,8
DERWOOD,8
DERWOOD,8
DERWOOD,8
DERWOOD,8
DERWOOD,8
DERWOOD,8
DERWOOD,8
POTOMAC,8
POTOMAC,8
POTOMAC,8
POTOMAC,8
POTOMAC,8
POTOMAC,8
POTOMAC,8
POTOMAC,8
CHEVY CHASE,7
CHEVY CHASE,7
CHEVY CHASE,7
CHEVY CHASE,7
CHEVY CHASE,7
CHEVY CHASE,7
CHEVY CHASE,7
BURTONSVILLE,4
BURTONSVILLE,4
BURTONSVILLE,4
BURTONSVILLE,4
BOYDS,3
BOYDS,3
BOYDS,3
OLNEY,3
OLNEY,3
OLNEY,3
POOLESVILLE,2
POOLESVILLE,2
SANDY SPRING,2
SANDY SPRING,2
ASHTON,1
BROOKEVILLE,1
